Artist,Song title,Popularity Score,Lyrics
Adele,Chasing Pavements,63,"I've made up my mind
Don't need to think it over
If I'm wrong, I am right
Don't need to look no further
This ain't lust, I know this is love

But, if I tell the world, I'll never say enough
'Cause it was not said to you
And that's exactly what I need to do
If I end up with you

Should I give up or should I just keep chasin' pavements
Even if it leads nowhere?
Or would it be a waste even if I knew my place?
Should I leave it there?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
U2,The Saints Are Coming,40,"There is a house in New Orleans, they call the Rising Sun
It's been the ruin of many a poor boy, and God, I know I'm one

I cried to my daddy on the telephone, how long now?
Until the clouds unroll and you come home, the line went
But the shadows still remain since your descent, your descent

I cried to my daddy on the telephone, how long now?
Until the clouds unroll and you come home, the line went
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Foo Fighters,All My Life,72,"All my life, I've been searching for something
Something never comes, never leads to nothing
Nothing satisfies but I'm getting close
Closer to the prize at the end of the rope

All night long I dream of the day
When it comes around, then it's taken away
Leaves me with the feeling that I feel the most
Feel it come to life when I see your ghost

Come down, don't you resist
You've such a delicate wrist
And if I give it a twist
Something to hold when I lose my grip

Will I find something in that?
So, give me just what I need
Another reason to bleed
One by one, hidden up my sleeve
One by one, hidden up my sleeve

Hey, don't let it go to waste
I love it but I hate the taste
Weight keeping me down
Hey, don't let it go to waste
I love it but I hate the taste
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Green Day,American Idiot,78,"Don't want to be an American idiot
Don't want a nation under the new media
And can you hear the sound of hysteria?
The subliminal mind-fuck America

Welcome to a new kind of tension
All across the alienation
Where everything isn't meant to be okay

The television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Linkin Park,Breaking the Habit,65,"Memories consume
Like opening the wound
I'm picking me apart again
You all assume
I'm safe here in my room
Unless I try to start again

I don't want to be the one
The battles always choose
'Cause inside I realize
That I'm the one confused

I don't know what's worth fighting for
Or why I have to scream
I don't know why I instigate
And say what I don't mean
I don't know how I got this way
I know it's not alright
So, I'm breaking the habit
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Robbie Williams,Come Undone,56,"So unimpressed but so in awe
Such a saint but such a whore
So self aware so full of shit
So indecisive so adamant
I'm contemplating thinking about thinking
It's overrated just get another drink in
Watch me come undone

They're selling razor blades and mirrors in the street
Pray that when I'm coming down you'll be asleep
If I ever hurt you your revenge will be so sweet
Because I'm scum
And I'm your son
I come undone
I come undone

So rock and roll so corporate suit
So damn ugly, so damn cute
So well trained, so animal
So need your love, so fuck you all
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Snow Patrol,Run,65,"I'll sing it one last time for you
Then we really have to go
You've been the only thing that's right
In all I've done

And I can barely look at you
But every single time I do
I know we'll make it anywhere
Away from here

Light up, light up
As if you have a choice
Even if you cannot hear my voice
I'll be right beside you dear

Louder, louder
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Saybia,The Day After Tomorrow,51,"Please tell me
Why do birds
Sing when you're near me
Sing when you're close to me
They say that I'm a fool
For loving you deeply
Loving you secretly

But I crash in my mind
Whenever you are near
Getting deaf, dumb and blind
Just drowning in despair
I am lost in your flame
It's burning like the sun
And I call out your name
The moment you are gone
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Pearl Jam,Just Breathe,69,"Yes, I understand that every life must end, ah-huh
As we sit alone, I know someday we must go, ah-huh
Oh, I'm a lucky man to count on both hands the ones I love
Some folks just have one, yeah, others they got none, ah-huh

Stay with me, oh
Let's just breathe

Practiced are my sins, never gonna let me win, ah-huh
Under everything, just another human being, ah-huh
Yeah, I don't wanna hurt
There's so much in this world to make me bleed

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
James Blunt,Goodbye My Lover,69,"Did I disappoint you or let you down?
Should I be feeling guilty or let the judges frown?
'Cause I saw the end, before we'd begun
Yes, I saw you were blind and I knew I had won

So I took what's mine by eternal right
Took your soul out into the night
It may be over but it won't stop there
I am here for you if you'd only care

You touched my heart, you touched my soul
Changed my life and all my goals
And love is blind, and that I knew when
My heart was blinded by you

I've kissed your lips and held your head
Shared your dreams and shared your bed
I know you well, I know your smell
I've been addicted to you

Goodbye my lover
Goodbye my friend
You have been the one
You have been the one for me

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Metallica,The Unforgiven III,52,"How could he know this new dawn's light
Would change his life forever?
Set sail to sea but pulled off course
By the light of golden treasure
Was he the one causing pain
With his careless dreaming?
Been afraid, always afraid
Of the things he's feeling
He could just be gone
He would just sail on
You would just sail on

How can I be lost
If I've got nowhere to go?
Searched for seas of gold
How come it's got so cold?
How can I be lost?
In remembrance, I relive
And how can I blame you
When it's me, I can't forgive?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
U2,Sometimes You Can't Make It On Your Own,57,"Tough
You think you've got the stuff
You're telling me and anyone
You're hard enough

You don't have to put up a fight
You don't have to always be right
Let me take some of the punches
For you tonight

Listen to me now
I need to let you know
You don't have to go it alone

And it's you when I look in the mirror
And it's you when I don't pick up the phone
Sometimes you can't make it on your own
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,Goin To The Run,38,"I could bet on new-years eve
He'd call me up at night
From the other side of the world
Ed was always there all-right

Ed's got the looks of a movie-star
Ed's got the smile of a prince
He rides a bike instead of a car
I wanna be his friend

Dancin' in the living-room with the ladies so nice
Like a child with a wisdom-tooth, he's just a friend of mine
Ed's got the rings and the colours
Ed's got the wind in his hair
He goes riding with the brothers
He's got a fist in the air
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Johnny Cash,Solitary Man,47,"Belinda was mine 'til the time that I found her
Holdin' Jim and lovin' him
Then Sue came along, loved me strong
That's what I thought, me and Sue
But that died, too

Don't know that I will but until I can find me
A girl who'll stay and won't play games behind me
I'll be what I am
A solitary man
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
3 Doors Down,Kryptonite,77,"Well, I took a walk around the world to ease my troubled mind
I left my body lying somewhere in the sands of time
But I watched the world float to the dark side of the moon
I feel there's nothing I can do, yeah

I watched the world float to the dark side of the moon
After all, I knew it had to be something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there holding my hand?
I'll keep you by my side with my superhuman might
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
P!nk,Family Portrait,56,"Uh, uh, some deep shit, uh, uh
Like the record
Yea-oh, oh, oh, oh, oh
Yeah, yeah, yeah, yeah, yeah, yeah

Momma please stop crying, I can't stand the sound
Your pain is painful and it's tearin' me down
I hear glasses breaking as I sit up in my bed
I told dad you didn't mean those nasty things you said

You fight about money, 'bout me and my brother
And this I come home to, this is my shelter
It ain't easy growing up in World War III
Never knowing what love could be, you'll see
I don't want love to destroy me like it has done my family

Can we work it out? (Can we?)
Can we be a family? (Can we?)
I promise I'll be better (I promise)
Mommy, I'll do anything (I'll do anything)
Can we work it out?
Can we be a family?
I promise I'll be better
Daddy, please, don't leave

Daddy, please, stop yelling (stop)
I can't stand the sound (can't stand the sound)
Make mama stop crying, 'cause I need you around
My mama she loves you (I know it), no matter what she says it's true
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Saybia,I Surrender,55,"A million suns are glowing in the night
Everything is quiet
Except for all the voices in my head
That say your name

Tonight I'm letting go
About to give in

I surrender myself
Into the arms of a beautiful stranger
I surrender myself to you, to you
I surrender myself
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Stereophonics,Maybe Tomorrow,64,"I've been down and I'm wondering why
These little black clouds keep walking around
With me
With me

It wastes time and I'd rather be high
Think I'll walk me outside and buy a rainbow smile
But be free
They're all free

So maybe tomorrow
I'll find my way home

So maybe tomorrow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Adele,Make You Feel My Love,73,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queens of the Stone Age,No One Knows,65,"We get some rules to follow
That and this, these and those
No one knows

We get these pills to swallow
How they stick in your throat
Tastes like gold
Oh what you do to me
No one knows

And I realize you're mine
Indeed a fool am I
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Peter Sarstedt,Where Do You Go To (My Lovely) - Re-Recorded,58,"You talk like Marlene Dietrich
And you dance like Zizi Jeanmaire
Your clothes are all made by Balmain
And there's diamonds and pearls in your hair, yes there are.

You live in a fancy apartment
Off the Boulevard of St. Michel
Where you keep your Rolling Stones records
And a friend of Sacha Distel, yes you do.

You go to the embassy parties
Where you talk in Russian and Greek
And the young men who move in your circles
They hang on every word you speak, yes they do.

But where do you go to my lovely
When you're alone in your bed
Tell me the thoughts that surround you
I want to look inside your head, yes I do.

I've seen all your qualifications
You got from the Sorbonne
And the painting you stole from Picasso
Your loveliness goes on and on, yes it does.

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mumford & Sons,Little Lion Man,67,"Weep for yourself, my man,
You'll never be what is in your heart
Weep, little lion man,
You're not as brave as you were at the start
Rate yourself and rake yourself
Take all the courage you have left
And waste it on fixing all the problems that you made in your own head

But it was not your fault but mine
And it was your heart on the line
I really fucked it up this time
Didn't I, my dear?
Didn't I, my...

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Volbeat,Sad Man's Tongue,57,"Well, my mama told me, ""Son, you better watch out
All those nasty women gonna rip you dime for dime""
But I got my pocket full of real tales
And a broken guitar mode
Guitar mode
And the story keep on rollin'
Out from a sad man tongue
Yeah!

Left my mama and papa's nest
I got the rebel fever ramblin' my bones
Papa said, ""My boy, take your Johnny Cash vinyl and go""
Well, I got my pocket full of real tales
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Offspring,Self Esteem,72,"I wrote her off for the tenth time today
And practiced all the things I would say
But she came over I lost my nerve
I took her back and made her dessert

Now I know I'm being used
That's okay man 'cause I like the abuse
Now I know she's playing with me
That's okay 'cause I've got no self-esteem
Oh yeah, yeah oh yeah, yeah

Oh yeah, yeah oh yeah, yeah

We make plans to go out at night
I wait 'til 2 then I turn out the light
This rejection's got me so low
If she keeps it up I just might tell her so
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Anouk,Modern World,42,"Crazy way to get your kicks
Shoot the silicone in your lips
If your figure makes you sad
Suck the fat right off your back

Make up your mind about your tits, girls
You can puff 'em up, so no bra will fit girls
There's only one thing they can't fix
No, I won't let you be misled
That's the hole in your head
Can't do nothing 'bout that

Hail, hail modern world
Hail to all you boys and girls
Hail, hail the colour green
Hail, hail to what I've seen
Hail, hail, hail this modern world

Tell her that she's beautiful
And put her on a pedestal
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
