Luka,Suzanne Vega,folk,1987,125,70,63,-11,12,80,232,19,3,45,"My name is Luka
I live on the second floor
I live upstairs from you
Yes I think you've seen me before

If you hear something late at night
Some kind of trouble, some kind of fight
Just don't ask me what it was
Just don't ask me what it was
Just don't ask me what it was

I think it's because I'm clumsy
I try not to talk too loud
Maybe it's because I'm crazy
I try not to act too proud

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Seven Wonders - 2017 Remaster,Fleetwood Mac,album rock,1987,119,63,71,-10,10,63,222,3,3,63,"So long ago
Certain place, certain time
You touched my hand
On the way, on the way down to Emmeline

But if our paths never cross
Well, you know I'm sorry, but

If I live to see the seven wonders
I'll make a path to the rainbow's end
I'll never live to match the beauty again

The rainbow's edge
(Aaron)
(Aaron)

So it's hard to find
Someone with that kind of intensity
You touched my hand, I played it cool
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
It's a Sin - 2001 Remaster,Pet Shop Boys,art pop,1987,127,86,54,-6,25,29,299,25,4,66,"20 seconds and counting
T minus 15 seconds, guidance is internal

When I look back upon my life
It's always with a sense of shame
I've always been the one to blame
For everything I long to do
No matter when or where or who
Has one thing in common too

It's a, it's a, it's a...

It's a sin
It's a sin
Everything I've ever done
Everything I ever do
Every place I've ever been
Everywhere I'm going to
It's a sin

At school they taught me how to be
So pure in thought and word and deed
They didn't quite succeed
For everything I long to do
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Bullet The Blue Sky,U2,irish rock,1987,153,64,36,-10,13,45,272,1,4,55,"In the howlin' wind
Comes a stingin' rain
See it drivin' nails
Into the souls on the tree of pain

From the firefly
A red orange glow
See the face of fear
Runnin' scared in the valley below

Bullet the blue sky
Bullet the blue sky
Bullet the blue
Bullet the blue

In the locust wind
Comes a rattle and hum
Jacob wrestled the angel
And the angel was overcome
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,alternative rock,1987,206,89,38,-9,3,80,247,3,4,67,"That's great, it starts with an earthquake, birds and snakes, an aeroplane
Lenny Bruce is not afraid
Eye of a hurricane, listen to yourself churn
World serves its own needs, don't misserve your own needs
Feed it off an aux, speak, grunt, no, strength
The ladder starts to clatter with fear fight, down, height
Wire in a fire, representing seven games
And a government for hire and a combat site

Left of west and coming in a hurry with the Furies
Breathing down your neck
Team by team, reporters baffled, trumped, tethered, cropped
Look at that low playing, fine, then
Uh-oh, overflow, population, common food
But it'll do, save yourself, serve yourself
World serves its own needs, listen to your heart bleed
Dummy with the rapture and the revered in the right, right
You vitriolic, patriotic, slam fight, bright light
Feeling pretty psyched

It's the end of the world as we know it
It's the end of the world as we know it
It's the end of the world as we know it
And I feel fine

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Is This Love - 2018 Remaster,Whitesnake,album rock,1987,180,76,26,-7,23,43,284,6,4,58,"I should have known better than to let you go alone
It's times like these I can't make it on my own
Wasted days and sleepless nights
And I can't wait to see you again

I find I spend my time waiting on your call
How can I tell you, babe, my back's against the wall
I need you by my side to tell me it's all right
'Cause I don't think I can take anymore

Is this love that I'm feeling?
Is this the love that I've been searching for?
Is this love or am I dreaming?
This must be love
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
You Win Again,Bee Gees,adult standards,1987,169,83,55,-11,22,91,241,9,3,63,"I couldn't figure why
You couldn't give me what everybody needs
I shouldn't let you kick me when I'm down, my baby
I find out everybody knows that
You've been using me
I'm surprised you
Let me stay around you

One day I'm gonna lift the cover
And look inside your heart
We gotta level before we go
And tear this love apart

There's no fight, you can't fight this battle of love with me
You win again, so little time, we do nothing but compete
There's no life on earth, no other could see me through
You win again, some never try but if anybody can, we can
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Liberian Girl - 2012 Remastered Version,Michael Jackson,pop,1987,105,55,75,-7,13,45,233,46,10,59,"Nakupenda pia
Nakutaka pia
Mpenzi we'

Liberian girl
You came and you changed my world
A love so brand new
Liberian girl
You came and you changed me, girl
A feeling so true

Liberian girl
You know that you came and you changed my world
Just like in the movies
With two lovers in a scene
And she says, ""Do you love me?""
And he says so endlessly
""I love you, Liberian girl""

Nakupenda pia
Nakutaka pia
Mpenzi we'
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Fast Car,Tracy Chapman,folk,1988,104,29,71,-16,13,19,297,31,4,77,"You got a fast car
I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Starting from zero, got nothing to lose
Maybe we'll make something
Me, myself, I got nothing to prove

You got a fast car
I got a plan to get us out of here
I been working at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just 'cross the border and into the city
You and I can both get jobs
And finally see what it means to be living

See, my old man's got a problem
He lives with the bottle, that's the way it is
He says his body's too old for working
His body's too young to look like his
My mama went off and left him
She wanted more from life than he could give
I said, somebody's got to take care of him
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Sara,Fleetwood Mac,album rock,1988,127,39,74,-17,9,59,382,38,3,56,"Wait a minute baby
Stay with me a while
Said you'd give me light
But you never told me about the fire

Drowning
In the sea of love
Where everyone would love to drown
But now it's gone
It doesn't matter what for
When you build your house
Then call me home

And he was just like
A great dark wing
Within the wings of a storm
I think I had met my match
He was singing

And undoing

And undoing

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
